Black (EVA-240),12,29735,1.85
Black (EVA-240),20,29736,3.15
Black (EVA-75),3,29730,0.4
Black (EVA-75),6,29731,0.75
Black (EVA-75),12,29732,1.5
Black (EVA-75),20,29733,2.5
Black (EVA-75),25,29734,2.95
Blue (PE-30),3,29713,0.29
Blue (PE-30),6,29714,0.4
Blue (PE-30),12,29715,0.85
Blue (PE-30),20,29716,1.2
Blue (PE-30),25,29717,1.9
Case,25,33462,0.58
Case,50,33466,1.16
Case,75,33467,1.74
Case,100,33469,2.32
Charcoal (EVA-30),3,29725,0.32
Charcoal (EVA-30),6,29726,0.52
Charcoal (EVA-30),12,29727,0.96
Charcoal (EVA-30),20,29728,1.85
Charcoal (EVA-30),25,29729,2
Charcoal (EVA-30),40,32973,2.45
Charcoal (EVA-30),80,32974,4.5
Convolute,25,43371,0.46
Convolute,50,43372,0.87
Dryflow Firm Dunlop,50,30238,1.95
Dryflow Firm Dunlop,75,30240,2.95
Fast Dry,50,41369,1.15
Fast Dry,75,41370,1.55
Green,18,25081,0.33
Green,25,25083,0.45
Green,40,25084,0.69
Green,50,25085,0.9
Green,75,25086,1.35
Green,100,25087,1.8
Green,125,25088,2.26
Green,150,25089,2.71
Memory Foam,50,43181,1.22
Memory Foam,75,43182,1.65
White,18,25027,0.23
White,25,25028,0.33
White,40,25029,0.48
White,50,25030,0.64
White,75,25031,0.97
White,100,25032,1.28
White,125,25033,1.61
White,150,25034,1.92
Yellow,18,40924,0.23
Yellow,25,25037,0.57
Yellow,40,25038,0.86
Yellow,50,25039,1.13
Yellow,75,25040,1.69
Yellow,100,25041,2.26
Yellow,125,25042,2.82
Yellow,150,25043,3.39
